,match_id,season,date,seed_type,bastion_type,player_a_uuid,player_b_uuid,player_a_nickname,player_b_nickname,time,elo_a_before,elo_b_before,has_player_forfeited,winner_uuid
75,2809543,9,1755798399,VILLAGE,HOUSING,7c92678742eb4e819f3122017697ae3d,cc432b2626a44ae1836a50244adbf468,hackingnoises,Watermelon1708,616.749,1641,1588,False,cc432b2626a44ae1836a50244adbf468
76,2809638,9,1755799102,BURIED_TREASURE,TREASURE,0d0f007a376a462299bf23f2f713b0e5,7c92678742eb4e819f3122017697ae3d,MrBudgiee,hackingnoises,512.921,1695,1578,False,7c92678742eb4e819f3122017697ae3d
77,2809930,9,1755801127,RUINED_PORTAL,BRIDGE,cc432b2626a44ae1836a50244adbf468,7c92678742eb4e819f3122017697ae3d,Watermelon1708,hackingnoises,288.624,1647,1604,True,7c92678742eb4e819f3122017697ae3d
78,2810059,9,1755802008,RUINED_PORTAL,STABLES,7c92678742eb4e819f3122017697ae3d,070d5851c46a4a2da91e6ddfdb741d7f,hackingnoises,TheLandSharkJeff,531.692,1667,1538,False,070d5851c46a4a2da91e6ddfdb741d7f
79,2810207,9,1755803118,BURIED_TREASURE,BRIDGE,7c92678742eb4e819f3122017697ae3d,939ddf85303441de901d60bfa4109318,hackingnoises,thecamo6,631.282,1646,1441,False,939ddf85303441de901d60bfa4109318
80,2810362,9,1755804175,VILLAGE,BRIDGE,7c92678742eb4e819f3122017697ae3d,6ddcd037dd4048e8804d0f99fa1cf4c6,hackingnoises,Ale267,574.064,1578,1569,False,7c92678742eb4e819f3122017697ae3d
81,2810581,9,1755805659,DESERT_TEMPLE,BRIDGE,26c82339872246c489bf285760ca1af3,7c92678742eb4e819f3122017697ae3d,novadud,hackingnoises,729.72,1569,1596,False,7c92678742eb4e819f3122017697ae3d
82,2810672,9,1755806285,DESERT_TEMPLE,BRIDGE,7c92678742eb4e819f3122017697ae3d,070d5851c46a4a2da91e6ddfdb741d7f,hackingnoises,TheLandSharkJeff,566.351,1613,1617,False,7c92678742eb4e819f3122017697ae3d
83,2810683,9,1755806369,RUINED_PORTAL,STABLES,7fad8dae2ab04971bc07a6440f84d609,a5d83ff042164ff1b862dedc118c1dae,suravil,steez,490.339,1541,1558,False,a5d83ff042164ff1b862dedc118c1dae
84,2810951,9,1755808095,DESERT_TEMPLE,STABLES,070d5851c46a4a2da91e6ddfdb741d7f,a5d83ff042164ff1b862dedc118c1dae,TheLandSharkJeff,steez,823.291,1542,1616,False,070d5851c46a4a2da91e6ddfdb741d7f
85,2811042,9,1755808790,RUINED_PORTAL,STABLES,a5d83ff042164ff1b862dedc118c1dae,7fad8dae2ab04971bc07a6440f84d609,steez,suravil,525.318,1556,1531,False,a5d83ff042164ff1b862dedc118c1dae
